time_step,x,y
1864,429,475
1865,425,489
1866,422,509
1867,422,527
1868,420,549
1869,420,568
1870,422,589
1871,424,613
1872,428,634
1873,433,654
1874,440,680
1875,448,701
1876,457,719
1877,470,738
1878,481,754
1879,498,767
1880,514,781
1881,533,797
1882,557,812
1883,580,826
1884,604,835
1885,630,839
1886,656,848
1887,677,849
1888,697,849
1889,718,849
1890,735,847
1891,751,843
1892,777,833
1893,796,822
1894,816,815
1895,834,807
1896,859,794
1897,876,784
1898,891,775
1899,907,770
1900,924,764
1901,949,760
1902,973,752
1903,1011,746
1904,1036,738
1905,1054,734
1906,1086,728
1907,1114,720
1908,1140,715
1909,1165,710
1910,1193,706
1911,1215,703
1912,1234,701
1913,1258,699
1914,1277,699
1915,1294,700
1916,1314,703
1917,1339,707
1918,1361,714
1919,1376,717
1920,1394,724
1921,1414,732
1922,1430,739
1923,1452,749
1924,1469,758
1925,1486,768
1926,1506,777
1927,1524,784
1928,1542,792
1929,1562,798
1930,1582,803
1931,1598,805
1932,1618,811
1933,1634,815
1934,1645,812
1935,1645,806
1936,1636,803
1937,1632,797
1938,1623,788
1939,1616,780
1940,1614,772
1941,1603,751
1942,1591,733
1943,1580,717
1944,1567,697
1945,1555,679
1946,1546,663
1947,1538,651
1948,1525,636
1949,1513,619
1950,1504,600
1951,1495,582
1952,1489,566
1953,1480,545
1954,1473,526
1955,1465,508
1956,1457,493
1957,1451,473
1958,1442,454
1959,1433,436
1960,1425,416
1961,1417,394
1962,1409,374
1963,1401,349
1964,1394,327
1965,1390,307
1966,1386,290
1967,1384,273
1968,1381,255
1969,1381,232
1970,1380,214
1971,1382,192
1972,1381,173
1973,1381,155
1974,1377,137
1975,1383,142
1976,1391,143
1977,1397,152
1978,1404,156
